sub_num,condition,stim_id,cat,resp,rt,age,gender,date,prob_num,num_problems_solved,current_trial_prob,current_trial_stim,current_trial_exp,relevant_dim
32,delay,26,1,1,3.50830175588726,20,Female,2020-03-09,0,0,0,0,0,3
32,delay,18,2,1,1.2264272923125645,20,Female,2020-03-09,0,0,1,1,1,3
32,delay,4,2,1,1.36147590756309,20,Female,2020-03-09,0,0,2,2,2,3
32,delay,28,1,1,0.859386169078789,20,Female,2020-03-09,0,0,3,3,3,3
32,delay,25,1,1,1.097731370749898,20,Female,2020-03-09,0,0,4,4,4,3
32,delay,23,2,2,0.7335844688436737,20,Female,2020-03-09,0,0,5,5,5,3
32,delay,30,1,1,0.8245438996577832,20,Female,2020-03-09,0,0,6,6,6,3
32,delay,32,2,2,0.5502928540158791,20,Female,2020-03-09,0,0,7,7,7,3
32,delay,12,1,1,0.3651631721236299,20,Female,2020-03-09,0,0,8,8,8,3
32,delay,45,1,2,0.5271007452442973,20,Female,2020-03-09,0,0,9,9,9,3
32,delay,6,2,2,0.6295313222703953,20,Female,2020-03-09,0,0,10,10,10,3
32,delay,50,2,2,0.7666161880993059,20,Female,2020-03-09,0,0,11,11,11,3
32,delay,53,2,2,0.6025514658776956,20,Female,2020-03-09,0,0,12,12,12,3
32,delay,24,1,1,0.37093089980862715,20,Female,2020-03-09,0,0,13,13,13,3
32,delay,27,1,1,0.8855012527919826,20,Female,2020-03-09,0,0,14,14,14,3
32,delay,17,2,2,0.5483277145267493,20,Female,2020-03-09,0,0,15,15,15,3
32,delay,8,1,1,2.059302319829385,20,Female,2020-03-09,0,0,16,16,16,3
32,delay,9,1,1,0.5341277575644199,20,Female,2020-03-09,0,0,17,17,17,3
32,delay,13,1,1,0.8239243056464147,20,Female,2020-03-09,0,0,18,18,18,3
32,delay,0,2,2,0.43714428996509014,20,Female,2020-03-09,0,0,19,19,19,3
32,delay,16,2,2,0.5214248436177513,20,Female,2020-03-09,0,0,20,20,20,3
32,delay,20,2,2,0.6716906135834506,20,Female,2020-03-09,0,0,21,21,21,3
32,delay,20,2,1,3.1136308827422,20,Female,2020-03-09,1,1,0,0,22,1
32,delay,27,2,1,0.5334719896513889,20,Female,2020-03-09,1,1,1,1,23,1
32,delay,11,2,1,0.6353070886007117,20,Female,2020-03-09,1,1,2,2,24,1
32,delay,35,1,1,1.6049219385745346,20,Female,2020-03-09,1,1,3,3,25,1
32,delay,33,1,2,2.036832143201991,20,Female,2020-03-09,1,1,4,4,26,1
